kecamatan_key,kecamatan_norm,tahun_proyeksi,demand_total,kapasitas,gap,siswa_tak_tertampung,utilisasi_pct
SIMOKERTO,SIMOKERTO,2030,12539,8830,3709,3709,142.0
SAWAHAN,SAWAHAN,2030,24780,16672,8108,8108,148.6
KREMBANGAN,KREMBANGAN,2030,15866,17160,-1294,0,92.5
PAKAL,PAKAL,2030,8871,9797,-926,0,90.5
GUNUNGANYAR,GUNUNG ANYAR,2030,8390,6245,2145,2145,134.3
SEMAMPIR,SEMAMPIR,2030,28174,21525,6649,6649,130.9
SAMBIKEREP,SAMBIKEREP,2030,9100,10510,-1410,0,86.6
ASEMROWO,ASEMROWO,2030,7699,5333,2366,2366,144.4
SUKOLILO,SUKOLILO,2030,15349,17153,-1804,0,89.5
DUKUHPAKIS,DUKUH PAKIS,2030,7471,8595,-1124,0,86.9
BENOWO,BENOWO,2030,10431,9028,1403,1403,115.5
